content,label
NASA successfully launches James Webb Space Telescope into orbit,1
Apple reports record quarterly earnings of 90 billion dollars,1
SpaceX launches Falcon 9 rocket carrying satellites into orbit,1
Scientists discover new species of dinosaur in Argentina,1
WHO approves new malaria vaccine for children in Africa,1
Tesla delivers record number of electric vehicles this quarter,1
Google announces new artificial intelligence research breakthrough,1
Amazon opens new fulfillment center creating thousands of jobs,1
Microsoft releases new version of Windows operating system,1
Federal Reserve raises interest rates to combat inflation,1
Stock markets reach record high after strong jobs report,1
Olympic athletes break three world records at Paris games,1
New cancer treatment shows promising results in clinical trials,1
Earthquake strikes Japan coast no tsunami warning issued,1
United Nations climate summit reaches new emissions agreement,1
Harvard University announces free tuition for low income students,1
Boeing successfully tests new commercial aircraft model,1
India launches Mars orbiter mission successfully,1
Scientists confirm water ice found on the moon surface,1
New York city opens largest public park in decades,1
Scientists confirm 5G towers are used for mind control,0
Drinking bleach cures cancer doctors reveal shocking truth,0
Aliens land in New York City government confirms extraterrestrial life,0
Bill Gates microchip found inside COVID vaccine doses,0
Moon landing was faked NASA insider confession leaked,0
Secret cure for diabetes suppressed by pharmaceutical companies,0
Government putting fluoride in water to control population,0
Elvis Presley spotted alive at McDonald in Tennessee,0
Illuminati controls all world governments leaked documents prove,0
Eating chocolate daily reverses aging scientists shocked,0
NASA successfully launches James Webb Space Telescope into orbit,1
Apple reports record quarterly earnings of 90 billion dollars,1
SpaceX launches Falcon 9 rocket carrying satellites into orbit,1
Scientists discover new species of dinosaur in Argentina,1
WHO approves new malaria vaccine for children in Africa,1
Tesla delivers record number of electric vehicles this quarter,1
Google announces new artificial intelligence research breakthrough,1
Amazon opens new fulfillment center creating thousands of jobs,1
Microsoft releases new version of Windows operating system,1
Federal Reserve raises interest rates to combat inflation,1
Stock markets reach record high after strong jobs report,1
Olympic athletes break three world records at Paris games,1
New cancer treatment shows promising results in clinical trials,1
Earthquake strikes Japan coast no tsunami warning issued,1
United Nations climate summit reaches new emissions agreement,1
Harvard University announces free tuition for low income students,1
Boeing successfully tests new commercial aircraft model,1
India launches Mars orbiter mission successfully,1
Scientists confirm water ice found on the moon surface,1
New York city opens largest public park in decades,1
Scientists confirm 5G towers are used for mind control,0
Drinking bleach cures cancer doctors reveal shocking truth,0
Aliens land in New York City government confirms extraterrestrial life,0
Bill Gates microchip found inside COVID vaccine doses,0
Moon landing was faked NASA insider confession leaked,0
Secret cure for diabetes suppressed by pharmaceutical companies,0
Government putting fluoride in water to control population,0
Elvis Presley spotted alive at McDonald in Tennessee,0
Illuminati controls all world governments leaked documents prove,0
Eating chocolate daily reverses aging scientists shocked,0
NASA successfully launches James Webb Space Telescope into orbit,1
Apple reports record quarterly earnings of 90 billion dollars,1
SpaceX launches Falcon 9 rocket carrying satellites into orbit,1
Scientists discover new species of dinosaur in Argentina,1
WHO approves new malaria vaccine for children in Africa,1
Tesla delivers record number of electric vehicles this quarter,1
Google announces new artificial intelligence research breakthrough,1
Amazon opens new fulfillment center creating thousands of jobs,1
Microsoft releases new version of Windows operating system,1
Federal Reserve raises interest rates to combat inflation,1
Stock markets reach record high after strong jobs report,1
Olympic athletes break three world records at Paris games,1
New cancer treatment shows promising results in clinical trials,1
Earthquake strikes Japan coast no tsunami warning issued,1
United Nations climate summit reaches new emissions agreement,1
Harvard University announces free tuition for low income students,1
Boeing successfully tests new commercial aircraft model,1
India launches Mars orbiter mission successfully,1
Scientists confirm water ice found on the moon surface,1
New York city opens largest public park in decades,1
Scientists confirm 5G towers are used for mind control,0
Drinking bleach cures cancer doctors reveal shocking truth,0
Aliens land in New York City government confirms extraterrestrial life,0
Bill Gates microchip found inside COVID vaccine doses,0
Moon landing was faked NASA insider confession leaked,0
Secret cure for diabetes suppressed by pharmaceutical companies,0
Government putting fluoride in water to control population,0
Elvis Presley spotted alive at McDonald in Tennessee,0
Illuminati controls all world governments leaked documents prove,0
Eating chocolate daily reverses aging scientists shocked,0
NASA successfully launches James Webb Space Telescope into orbit,1
Apple reports record quarterly earnings of 90 billion dollars,1
SpaceX launches Falcon 9 rocket carrying satellites into orbit,1
Scientists discover new species of dinosaur in Argentina,1
WHO approves new malaria vaccine for children in Africa,1
Tesla delivers record number of electric vehicles this quarter,1
Google announces new artificial intelligence research breakthrough,1
Amazon opens new fulfillment center creating thousands of jobs,1
Microsoft releases new version of Windows operating system,1
Federal Reserve raises interest rates to combat inflation,1
Stock markets reach record high after strong jobs report,1
Olympic athletes break three world records at Paris games,1
New cancer treatment shows promising results in clinical trials,1
Earthquake strikes Japan coast no tsunami warning issued,1
United Nations climate summit reaches new emissions agreement,1
Harvard University announces free tuition for low income students,1
Boeing successfully tests new commercial aircraft model,1
India launches Mars orbiter mission successfully,1
Scientists confirm water ice found on the moon surface,1
New York city opens largest public park in decades,1
Scientists confirm 5G towers are used for mind control,0
Drinking bleach cures cancer doctors reveal shocking truth,0
Aliens land in New York City government confirms extraterrestrial life,0
Bill Gates microchip found inside COVID vaccine doses,0
Moon landing was faked NASA insider confession leaked,0
Secret cure for diabetes suppressed by pharmaceutical companies,0
Government putting fluoride in water to control population,0
Elvis Presley spotted alive at McDonald in Tennessee,0
Illuminati controls all world governments leaked documents prove,0
Eating chocolate daily reverses aging scientists shocked,0
NASA successfully launches James Webb Space Telescope into orbit,1
Apple reports record quarterly earnings of 90 billion dollars,1
SpaceX launches Falcon 9 rocket carrying satellites into orbit,1
Scientists discover new species of dinosaur in Argentina,1
WHO approves new malaria vaccine for children in Africa,1
Tesla delivers record number of electric vehicles this quarter,1
Google announces new artificial intelligence research breakthrough,1
Amazon opens new fulfillment center creating thousands of jobs,1
Microsoft releases new version of Windows operating system,1
Federal Reserve raises interest rates to combat inflation,1
Stock markets reach record high after strong jobs report,1
Olympic athletes break three world records at Paris games,1
New cancer treatment shows promising results in clinical trials,1
Earthquake strikes Japan coast no tsunami warning issued,1
United Nations climate summit reaches new emissions agreement,1
Harvard University announces free tuition for low income students,1
Boeing successfully tests new commercial aircraft model,1
India launches Mars orbiter mission successfully,1
Scientists confirm water ice found on the moon surface,1
New York city opens largest public park in decades,1
Scientists confirm 5G towers are used for mind control,0
Drinking bleach cures cancer doctors reveal shocking truth,0
Aliens land in New York City government confirms extraterrestrial life,0
Bill Gates microchip found inside COVID vaccine doses,0
Moon landing was faked NASA insider confession leaked,0
Secret cure for diabetes suppressed by pharmaceutical companies,0
Government putting fluoride in water to control population,0
Elvis Presley spotted alive at McDonald in Tennessee,0
Illuminati controls all world governments leaked documents prove,0
Eating chocolate daily reverses aging scientists shocked,0
NASA successfully launches James Webb Space Telescope into orbit,1
Apple reports record quarterly earnings of 90 billion dollars,1
SpaceX launches Falcon 9 rocket carrying satellites into orbit,1
Scientists discover new species of dinosaur in Argentina,1
WHO approves new malaria vaccine for children in Africa,1
Tesla delivers record number of electric vehicles this quarter,1
Google announces new artificial intelligence research breakthrough,1
Amazon opens new fulfillment center creating thousands of jobs,1
Microsoft releases new version of Windows operating system,1
Federal Reserve raises interest rates to combat inflation,1
Stock markets reach record high after strong jobs report,1
Olympic athletes break three world records at Paris games,1
New cancer treatment shows promising results in clinical trials,1
Earthquake strikes Japan coast no tsunami warning issued,1
United Nations climate summit reaches new emissions agreement,1
Harvard University announces free tuition for low income students,1
Boeing successfully tests new commercial aircraft model,1
India launches Mars orbiter mission successfully,1
Scientists confirm water ice found on the moon surface,1
New York city opens largest public park in decades,1
Scientists confirm 5G towers are used for mind control,0
Drinking bleach cures cancer doctors reveal shocking truth,0
Aliens land in New York City government confirms extraterrestrial life,0
Bill Gates microchip found inside COVID vaccine doses,0
Moon landing was faked NASA insider confession leaked,0
Secret cure for diabetes suppressed by pharmaceutical companies,0
Government putting fluoride in water to control population,0
Elvis Presley spotted alive at McDonald in Tennessee,0
Illuminati controls all world governments leaked documents prove,0
Eating chocolate daily reverses aging scientists shocked,0
NASA successfully launches James Webb Space Telescope into orbit,1
Apple reports record quarterly earnings of 90 billion dollars,1
SpaceX launches Falcon 9 rocket carrying satellites into orbit,1
Scientists discover new species of dinosaur in Argentina,1
WHO approves new malaria vaccine for children in Africa,1
Tesla delivers record number of electric vehicles this quarter,1
Google announces new artificial intelligence research breakthrough,1
Amazon opens new fulfillment center creating thousands of jobs,1
Microsoft releases new version of Windows operating system,1
Federal Reserve raises interest rates to combat inflation,1
Stock markets reach record high after strong jobs report,1
